batch_size,generate_latency_ms,forward_latency_ms
55,34.821441650390625,1967.3946533203125
56,35.04662322998047,2014.7117919921875
57,35.49763107299805,2105.54443359375
58,35.581214904785156,2140.189453125
59,35.485599517822266,2198.2177734375
60,35.57049560546875,2213.06591796875
61,35.42969512939453,2245.2548828125
62,36.0032958984375,2288.6787109375
63,35.69558334350586,2326.353271484375
64,36.06095886230469,2338.710205078125
65,54.056095123291016,2346.3984375
66,54.860511779785156,2372.0869140625
67,54.32070541381836,2502.264404296875
68,54.623966217041016,2534.71728515625
69,54.48787307739258,2552.8056640625
